Number Insured,Number Uninsured,Age Category,County,Percentage Insured,Percentage Uninsured
4232,744,40 to 50 years,"Person County, NC",85.04823151125402,14.95176848874598
7874,1007,50 to 64 years,"Person County, NC",88.66118680328792,11.338813196712081
131290,17828,Total,"Pitt County, NC",88.04436754784801,11.955632452151987
35437,1695,Under 18,"Pitt County, NC",95.43520413659377,4.564795863406227
51048,10641,18 to 40 years,"Pitt County, NC",82.75057141467684,17.24942858532315
17731,2829,40 to 50 years,"Pitt County, NC",86.24027237354086,13.759727626459144
27074,2663,50 to 64 years,"Pitt County, NC",91.04482631065676,8.955173689343242
12009,1969,Total,"Polk County, NC",85.91357848046931,14.086421519530692
2933,243,Under 18,"Polk County, NC",92.34886649874055,7.651133501259446
3125,755,18 to 40 years,"Polk County, NC",80.54123711340206,19.45876288659794
1753,366,40 to 50 years,"Polk County, NC",82.72770174610666,17.272298253893346
4198,605,50 to 64 years,"Polk County, NC",87.40370601707266,12.596293982927337
95989,20225,Total,"Randolph County, NC",82.59676114753816,17.403238852461836
29229,1894,Under 18,"Randolph County, NC",93.91446839957588,6.085531600424123
26464,9876,18 to 40 years,"Randolph County, NC",72.82333516785911,27.17666483214089
13926,4296,40 to 50 years,"Randolph County, NC",76.42410273296016,23.575897267039842
26370,4159,50 to 64 years,"Randolph County, NC",86.37688754954306,13.623112450456942
30043,5159,Total,"Richmond County, NC",85.3445826941651,14.655417305834895
9364,498,Under 18,"Richmond County, NC",94.95031433786251,5.049685662137497
8647,2548,18 to 40 years,"Richmond County, NC",77.23983921393479,22.760160786065207
4454,988,40 to 50 years,"Richmond County, NC",81.84490995957368,18.155090040426312
7578,1125,50 to 64 years,"Richmond County, NC",87.07342295760083,12.926577042399172
85346,19377,Total,"Robeson County, NC",81.4969013492738,18.5030986507262
29116,1792,Under 18,"Robeson County, NC",94.20214831111686,5.797851688883137
24405,9484,18 to 40 years,"Robeson County, NC",72.01451798518693,27.985482014813066
11737,4035,40 to 50 years,"Robeson County, NC",74.41668780116663,25.583312198833376
20088,4066,50 to 64 years,"Robeson County, NC",83.16634925892191,16.83365074107808
61389,9758,Total,"Rockingham County, NC",86.28473442309584,13.715265576904157
16837,956,Under 18,"Rockingham County, NC",94.62710054515821,5.372899454841792
17184,4432,18 to 40 years,"Rockingham County, NC",79.49666913397483,20.503330866025166
9280,1822,40 to 50 years,"Rockingham County, NC",83.58854260493605,16.41145739506395
18088,2548,50 to 64 years,"Rockingham County, NC",87.65264586160109,12.347354138398915
96304,16376,Total,"Rowan County, NC",85.46680866169685,14.53319133830316
28820,1622,Under 18,"Rowan County, NC",94.67183496485119,5.328165035148808
28237,7604,18 to 40 years,"Rowan County, NC",78.78407410507519,21.21592589492481
13856,3476,40 to 50 years,"Rowan County, NC",79.94461112393262,20.05538887606739
25391,3674,50 to 64 years,"Rowan County, NC",87.35936693617754,12.640633063822467
44208,7051,Total,"Rutherford County, NC",86.24436684289589,13.755633157104118
12579,666,Under 18,"Rutherford County, NC",94.97168742921858,5.028312570781427
12266,3147,18 to 40 years,"Rutherford County, NC",79.58217089469927,20.41782910530072
6559,1465,40 to 50 years,"Rutherford County, NC",81.74227318045862,18.257726819541375
12804,1773,50 to 64 years,"Rutherford County, NC",87.83700349866227,12.162996501337723
40329,10177,Total,"Sampson County, NC",79.84991882152616,20.150081178473844
13617,1219,Under 18,"Sampson County, NC",91.78349959557832,8.216500404421677
10604,4990,18 to 40 years,"Sampson County, NC",68.00051301782737,31.99948698217263
5765,1985,40 to 50 years,"Sampson County, NC",74.38709677419355,25.612903225806452
10343,1983,50 to 64 years,"Sampson County, NC",83.91205581697226,16.087944183027748
22037,3511,Total,"Scotland County, NC",86.25724127133239,13.742758728667607
7301,384,Under 18,"Scotland County, NC",95.00325309043592,4.996746909564086
6374,1604,18 to 40 years,"Scotland County, NC",79.8947104537478,20.105289546252195
3014,655,40 to 50 years,"Scotland County, NC",82.14772417552467,17.852275824475335
5348,868,50 to 64 years,"Scotland County, NC",86.03603603603604,13.963963963963964
41779,7153,Total,"Stanly County, NC",85.38175427123355,14.618245728766452
12331,823,Under 18,"Stanly County, NC",93.74334803101718,6.256651968982819
12041,3665,18 to 40 years,"Stanly County, NC",76.66496880173182,23.33503119826818
5944,1278,40 to 50 years,"Stanly County, NC",82.30407089448906,17.69592910551094
11463,1387,50 to 64 years,"Stanly County, NC",89.20622568093385,10.793774319066149
31091,4374,Total,"Stokes County, NC",87.66671366135627,12.333286338643733
7866,432,Under 18,"Stokes County, NC",94.7939262472885,5.206073752711497
8629,1923,18 to 40 years,"Stokes County, NC",81.775966641395,18.224033358605002
4769,944,40 to 50 years,"Stokes County, NC",83.47628216348679,16.523717836513214
9827,1075,50 to 64 years,"Stokes County, NC",90.13942395890662,9.860576041093378
46806,9396,Total,"Surry County, NC",83.28173374613003,16.71826625386997
13674,900,Under 18,"Surry County, NC",93.82461918484974,6.175380815150268
12864,4377,18 to 40 years,"Surry County, NC",74.61284148251262,25.387158517487386
7072,1998,40 to 50 years,"Surry County, NC",77.97133406835722,22.028665931642777
13196,2121,50 to 64 years,"Surry County, NC",86.1526408565646,13.847359143435398
8793,2529,Total,"Swain County, NC",77.66295707472177,22.33704292527822
2709,335,Under 18,"Swain County, NC",88.99474375821288,11.005256241787123
2607,1173,18 to 40 years,"Swain County, NC",68.96825396825396,31.03174603174603
1223,480,40 to 50 years,"Swain County, NC",71.81444509688785,28.185554903112156
2254,541,50 to 64 years,"Swain County, NC",80.64400715563507,19.355992844364938
19188,3625,Total,"Transylvania County, NC",84.10993731644238,15.890062683557622
4789,369,Under 18,"Transylvania County, NC",92.84606436603335,7.153935633966654
5373,1546,18 to 40 years,"Transylvania County, NC",77.65573059690706,22.344269403092934
2787,742,40 to 50 years,"Transylvania County, NC",78.97421365826013,21.02578634173987
6239,968,50 to 64 years,"Transylvania County, NC",86.56861384764812,13.43138615235188
2136,416,Total,"Tyrrell County, NC",83.69905956112852,16.300940438871475
647,51,Under 18,"Tyrrell County, NC",92.69340974212034,7.306590257879656
561,173,18 to 40 years,"Tyrrell County, NC",76.43051771117166,23.569482288828336
278,81,40 to 50 years,"Tyrrell County, NC",77.43732590529248,22.56267409470752
650,111,50 to 64 years,"Tyrrell County, NC",85.41392904073588,14.586070959264125
184249,23543,Total,"Union County, NC",88.66991991991992,11.33008008008008
59890,3436,Under 18,"Union County, NC",94.5741085809936,5.425891419006411
48144,10747,18 to 40 years,"Union County, NC",81.75103156679289,18.24896843320711
32630,5074,40 to 50 years,"Union County, NC",86.54254190536813,13.45745809463187
43585,4286,50 to 64 years,"Union County, NC",91.04677153182512,8.953228468174887
30038,5118,Total,"Vance County, NC",85.44202980998976,14.55797019001024
9434,479,Under 18,"Vance County, NC",95.167961262988,4.832038737012004
8891,2436,18 to 40 years,"Vance County, NC",78.49386421823961,21.506135781760396
4097,957,40 to 50 years,"Vance County, NC",81.06450336367234,18.93549663632766
7616,1246,50 to 64 years,"Vance County, NC",85.93996840442338,14.06003159557662
866829,97433,Total,"Wake County, NC",89.89558854336269,10.104411456637305
250182,12746,Under 18,"Wake County, NC",95.15228503620763,4.847714963792369
286611,47140,18 to 40 years,"Wake County, NC",85.87569775071834,14.12430224928165
145729,19495,40 to 50 years,"Wake County, NC",88.20086670217403,11.799133297825982
184307,18052,50 to 64 years,"Wake County, NC",91.07922059310434,8.920779406895665
11298,2322,Total,"Warren County, NC",82.95154185022027,17.048458149779737
3125,246,Under 18,"Warren County, NC",92.70246217739543,7.297537822604569
3050,1000,18 to 40 years,"Warren County, NC",75.30864197530865,24.691358024691358
1474,406,40 to 50 years,"Warren County, NC",78.40425531914893,21.595744680851062
3649,670,50 to 64 years,"Warren County, NC",84.48714980319518,15.512850196804816
7275,1196,Total,"Washington County, NC",85.88124188407508,14.118758115924921
2066,119,Under 18,"Washington County, NC",94.55377574370709,5.446224256292906
1941,560,18 to 40 years,"Washington County, NC",77.60895641743302,22.391043582566972
967,230,40 to 50 years,"Washington County, NC",80.78529657477026,19.21470342522974
2301,287,50 to 64 years,"Washington County, NC",88.91035548686244,11.089644513137557
35874,5399,Total,"Watauga County, NC",86.91880890654907,13.081191093450924
6649,424,Under 18,"Watauga County, NC",94.00537254347519,5.994627456524813
15886,3163,18 to 40 years,"Watauga County, NC",83.39545382959736,16.604546170402646
4711,814,40 to 50 years,"Watauga County, NC",85.26696832579185,14.733031674208144
8628,998,50 to 64 years,"Watauga County, NC",89.63224600041553,10.367753999584458
83851,15268,Total,"Wayne County, NC",84.59629334436384,15.403706655636155
26371,1626,Under 18,"Wayne County, NC",94.19223488230882,5.807765117691181
26126,7969,18 to 40 years,"Wayne County, NC",76.62707141809649,23.372928581903505
10805,2870,40 to 50 years,"Wayne County, NC",79.01279707495429,20.987202925045704
20549,2803,50 to 64 years,"Wayne County, NC",87.99674546077424,12.003254539225763
43730,8605,Total,"Wilkes County, NC",83.55784847616317,16.44215152383682
12482,840,Under 18,"Wilkes County, NC",93.69464044437773,6.305359555622279
12022,3967,18 to 40 years,"Wilkes County, NC",75.1891925698918,24.8108074301082
6479,1868,40 to 50 years,"Wilkes County, NC",77.62070204864023,22.37929795135977
12747,1930,50 to 64 years,"Wilkes County, NC",86.85017374122778,13.14982625877223
54274,10451,Total,"Wilson County, NC",83.85322518346852,16.14677481653148
16861,950,Under 18,"Wilson County, NC",94.6662175060356,5.333782493964404
15507,5412,18 to 40 years,"Wilson County, NC",74.12878244657966,25.871217553420337
7558,2151,40 to 50 years,"Wilson County, NC",77.84529817694923,22.15470182305078
14348,1938,50 to 64 years,"Wilson County, NC",88.10020876826722,11.899791231732777
25127,4551,Total,"Yadkin County, NC",84.66540872026417,15.33459127973583
7071,549,Under 18,"Yadkin County, NC",92.79527559055119,7.2047244094488185
6910,2095,18 to 40 years,"Yadkin County, NC",76.73514714047751,23.264852859522488
3740,864,40 to 50 years,"Yadkin County, NC",81.23370981754995,18.766290182450042
7406,1043,50 to 64 years,"Yadkin County, NC",87.65534382767191,12.344656172328087
11089,2069,Total,"Yancey County, NC",84.27572579419365,15.724274205806353
2969,231,Under 18,"Yancey County, NC",92.78125,7.21875
3110,902,18 to 40 years,"Yancey County, NC",77.51744765702891,22.482552342971086
1696,419,40 to 50 years,"Yancey County, NC",80.18912529550828,19.810874704491727
3314,517,50 to 64 years,"Yancey County, NC",86.50482902636388,13.495170973636126
