Number Insured,Number Uninsured,Age Category,County,Percentage Insured,Percentage Uninsured
21264,5623,18 to 40 years,"Brunswick County, NC",79.08654740209023,20.91345259790977
11688,2312,40 to 50 years,"Brunswick County, NC",83.48571428571428,16.514285714285716
30301,3828,50 to 64 years,"Brunswick County, NC",88.7837323097659,11.216267690234112
172902,29493,Total,"Buncombe County, NC",85.42799970354999,14.57200029645001
43555,2942,Under 18,"Buncombe County, NC",93.67271006731617,6.327289932683829
56470,14499,18 to 40 years,"Buncombe County, NC",79.56995307810452,20.430046921895475
27436,6169,40 to 50 years,"Buncombe County, NC",81.64261270644249,18.357387293557505
45441,5883,50 to 64 years,"Buncombe County, NC",88.53752630348374,11.46247369651625
58384,10688,Total,"Burke County, NC",84.52629140606903,15.47370859393097
15018,842,Under 18,"Burke County, NC",94.69104665825978,5.308953341740227
16687,5208,18 to 40 years,"Burke County, NC",76.21374743092031,23.7862525690797
8878,2196,40 to 50 years,"Burke County, NC",80.16976702185299,19.83023297814701
17801,2442,50 to 64 years,"Burke County, NC",87.9365706664032,12.0634293335968
165888,20893,Total,"Cabarrus County, NC",88.81417274776342,11.185827252236576
51527,2890,Under 18,"Cabarrus County, NC",94.68915963761324,5.310840362386754
50366,9957,18 to 40 years,"Cabarrus County, NC",83.49385806408833,16.506141935911675
27204,4544,40 to 50 years,"Cabarrus County, NC",85.68728738818193,14.312712611818068
36791,3502,50 to 64 years,"Cabarrus County, NC",91.30866403593676,8.691335964063237
54626,9855,Total,"Caldwell County, NC",84.71642809509778,15.28357190490222
15093,870,Under 18,"Caldwell County, NC",94.54989663597068,5.450103364029318
15199,4663,18 to 40 years,"Caldwell County, NC",76.52300876044708,23.476991239552916
8404,2050,40 to 50 years,"Caldwell County, NC",80.39028123206428,19.609718767935718
15930,2272,50 to 64 years,"Caldwell County, NC",87.51785518074936,12.482144819250632
8026,1016,Total,"Camden County, NC",88.76354788763548,11.236452112364521
2300,145,Under 18,"Camden County, NC",94.06952965235173,5.930470347648262
2264,462,18 to 40 years,"Camden County, NC",83.0520909757887,16.9479090242113
1297,192,40 to 50 years,"Camden County, NC",87.10543989254533,12.894560107454668
2165,217,50 to 64 years,"Camden County, NC",90.89000839630563,9.109991603694375
44210,6861,Total,"Carteret County, NC",86.56576139100468,13.43423860899532
11084,727,Under 18,"Carteret County, NC",93.84472102277537,6.155278977224621
12108,2783,18 to 40 years,"Carteret County, NC",81.31085890806527,18.689141091934726
6515,1348,40 to 50 years,"Carteret County, NC",82.8564161261605,17.1435838738395
14503,2003,50 to 64 years,"Carteret County, NC",87.86501878104932,12.134981218950685
14122,2162,Total,"Caswell County, NC",86.7231638418079,13.27683615819209
3834,257,Under 18,"Caswell County, NC",93.71791737961378,6.2820826203862135
3765,940,18 to 40 years,"Caswell County, NC",80.02125398512221,19.97874601487779
2121,420,40 to 50 years,"Caswell County, NC",83.47107438016529,16.52892561983471
4402,545,50 to 64 years,"Caswell County, NC",88.98322215484131,11.016777845158682
108538,19832,Total,"Catawba County, NC",84.55090753291267,15.449092467087326
31687,2604,Under 18,"Catawba County, NC",92.40617071534805,7.5938292846519495
31241,9194,18 to 40 years,"Catawba County, NC",77.26227278347966,22.73772721652034
16479,3818,40 to 50 years,"Catawba County, NC",81.18933832586096,18.810661674139034
29131,4216,50 to 64 years,"Catawba County, NC",87.35718355474256,12.642816445257445
47945,7803,Total,"Chatham County, NC",86.00308531247758,13.996914687522422
13649,1049,Under 18,"Chatham County, NC",92.86297455436113,7.137025445638862
11966,3390,18 to 40 years,"Chatham County, NC",77.92393852565772,22.076061474342275
7778,1769,40 to 50 years,"Chatham County, NC",81.4706190426312,18.529380957368808
14552,1595,50 to 64 years,"Chatham County, NC",90.12200408744658,9.877995912553416
16342,3261,Total,"Cherokee County, NC",83.36479110340254,16.635208896597458
4278,319,Under 18,"Cherokee County, NC",93.06069175549271,6.939308244507288
4035,1464,18 to 40 years,"Cherokee County, NC",73.37697763229679,26.623022367703218
2406,619,40 to 50 years,"Cherokee County, NC",79.53719008264463,20.462809917355372
5623,859,50 to 64 years,"Cherokee County, NC",86.74791730947238,13.252082690527615
9035,1207,Total,"Chowan County, NC",88.21519234524507,11.78480765475493
2531,146,Under 18,"Chowan County, NC",94.54613373178931,5.4538662682106835
2549,554,18 to 40 years,"Chowan County, NC",82.14631002255881,17.853689977441185
1241,220,40 to 50 years,"Chowan County, NC",84.94182067077344,15.058179329226558
2714,287,50 to 64 years,"Chowan County, NC",90.43652115961346,9.563478840386537
6255,1302,Total,"Clay County, NC",82.77094084954346,17.229059150456532
1666,150,Under 18,"Clay County, NC",91.74008810572687,8.259911894273127
1539,545,18 to 40 years,"Clay County, NC",73.84836852207293,26.151631477927065
903,246,40 to 50 years,"Clay County, NC",78.59007832898172,21.409921671018278
2147,361,50 to 64 years,"Clay County, NC",85.60606060606061,14.393939393939394
66724,10527,Total,"Cleveland County, NC",86.37299193537947,13.627008064620522
19773,959,Under 18,"Cleveland County, NC",95.3743005981092,4.625699401890797
19649,4736,18 to 40 years,"Cleveland County, NC",80.57822431822842,19.42177568177158
9329,2277,40 to 50 years,"Cleveland County, NC",80.38083749784595,19.619162502154058
17973,2555,50 to 64 years,"Cleveland County, NC",87.55358534684333,12.446414653156664
33987,6779,Total,"Columbus County, NC",83.3709463768827,16.629053623117304
10331,661,Under 18,"Columbus County, NC",93.98653566229986,6.013464337700146
9615,3255,18 to 40 years,"Columbus County, NC",74.70862470862471,25.291375291375292
4757,1338,40 to 50 years,"Columbus County, NC",78.04757998359311,21.95242001640689
9284,1525,50 to 64 years,"Columbus County, NC",85.89138680729022,14.108613192709779
67098,9938,Total,"Craven County, NC",87.09953787839451,12.900462121605484
19971,1249,Under 18,"Craven County, NC",94.11404335532517,5.8859566446748355
22421,5231,18 to 40 years,"Craven County, NC",81.08274265875886,18.91725734124114
8453,1626,40 to 50 years,"Craven County, NC",83.86744716737772,16.132552832622284
16253,1832,50 to 64 years,"Craven County, NC",89.87005805916506,10.129941940834946
241380,34470,Total,"Cumberland County, NC",87.50407830342577,12.495921696574225
76621,3463,Under 18,"Cumberland County, NC",95.67579042005895,4.324209579941062
88268,19181,18 to 40 years,"Cumberland County, NC",82.14874033262292,17.851259667377082
29990,5755,40 to 50 years,"Cumberland County, NC",83.8998461323262,16.1001538676738
46501,6071,50 to 64 years,"Cumberland County, NC",88.45202769535113,11.547972304648862
20245,2944,Total,"Currituck County, NC",87.3043253266635,12.695674673336496
5623,417,Under 18,"Currituck County, NC",93.09602649006622,6.903973509933775
5759,1320,18 to 40 years,"Currituck County, NC",81.35329848848707,18.646701511512926
2928,553,40 to 50 years,"Currituck County, NC",84.11376041367423,15.886239586325768
5935,654,50 to 64 years,"Currituck County, NC",90.0743663681894,9.925633631810593
24792,3918,Total,"Dare County, NC",86.35318704284222,13.646812957157785
6372,475,Under 18,"Dare County, NC",93.06265517744998,6.937344822550022
6589,1621,18 to 40 years,"Dare County, NC",80.2557856272838,19.7442143727162
3726,785,40 to 50 years,"Dare County, NC",82.59809354910219,17.401906450897805
8105,1037,50 to 64 years,"Dare County, NC",88.65674907022533,11.343250929774666
115355,19706,Total,"Davidson County, NC",85.40955568224729,14.59044431775272
33458,2042,Under 18,"Davidson County, NC",94.24788732394366,5.752112676056338
32398,9343,18 to 40 years,"Davidson County, NC",77.61673175055701,22.383268249442995
17648,3725,40 to 50 years,"Davidson County, NC",82.57146867543162,17.428531324568382
31851,4596,50 to 64 years,"Davidson County, NC",87.38990863445551,12.61009136554449
29135,4369,Total,"Davie County, NC",86.95976599808978,13.04023400191022
8245,608,Under 18,"Davie County, NC",93.13227154636846,6.867728453631537
7854,1876,18 to 40 years,"Davie County, NC",80.71942446043165,19.280575539568346
4550,867,40 to 50 years,"Davie County, NC",83.9948310873177,16.005168912682297
8486,1018,50 to 64 years,"Davie County, NC",89.28872053872054,10.711279461279462
36312,10019,Total,"Duplin County, NC",78.37516997258855,21.624830027411452
12279,1062,Under 18,"Duplin County, NC",92.03957724308522,7.960422756914774
9539,4913,18 to 40 years,"Duplin County, NC",66.00470523110988,33.99529476889012
5053,2052,40 to 50 years,"Duplin County, NC",71.11893033075299,28.881069669247008
9441,1992,50 to 64 years,"Duplin County, NC",82.57675150879034,17.423248491209655
227700,36915,Total,"Durham County, NC",86.04954367666232,13.95045632333768
60040,4064,Under 18,"Durham County, NC",93.660302009235,6.339697990765007
85930,19302,18 to 40 years,"Durham County, NC",81.65767067051847,18.342329329481526
33087,7540,40 to 50 years,"Durham County, NC",81.44091367809585,18.559086321904154
48643,6009,50 to 64 years,"Durham County, NC",89.00497694503403,10.995023054965966
34922,4790,Total,"Edgecombe County, NC",87.93815471394036,12.06184528605963
10497,431,Under 18,"Edgecombe County, NC",96.05600292825768,3.9439970717423134
10272,2380,18 to 40 years,"Edgecombe County, NC",81.18874486247233,18.811255137527663
4744,851,40 to 50 years,"Edgecombe County, NC",84.7899910634495,15.21000893655049
9409,1128,50 to 64 years,"Edgecombe County, NC",89.29486571130303,10.705134288696973
264536,43632,Total,"Forsyth County, NC",85.84148905791646,14.158510942083538
80432,4138,Under 18,"Forsyth County, NC",95.1070119427693,4.8929880572306965
81441,21014,18 to 40 years,"Forsyth County, NC",79.489531989654,20.510468010346006
37714,9087,40 to 50 years,"Forsyth County, NC",80.58374821050832,19.416251789491678
64949,9393,50 to 64 years,"Forsyth County, NC",87.36515025154019,12.634849748459821
48533,7749,Total,"Franklin County, NC",86.23183255747841,13.768167442521587
13874,925,Under 18,"Franklin County, NC",93.74957767416717,6.250422325832827
13903,3460,18 to 40 years,"Franklin County, NC",80.07256810459022,19.92743189540978
7285,1752,40 to 50 years,"Franklin County, NC",80.61303529932499,19.386964700675
13471,1612,50 to 64 years,"Franklin County, NC",89.31247099383411,10.687529006165882
159539,25668,Total,"Gaston County, NC",86.14091260049567,13.859087399504338
46597,2544,Under 18,"Gaston County, NC",94.82306017378563,5.176939826214363
48230,12689,18 to 40 years,"Gaston County, NC",79.1707020798109,20.829297920189102
24693,5252,40 to 50 years,"Gaston County, NC",82.46117882785106,17.53882117214894
40019,5183,50 to 64 years,"Gaston County, NC",88.53369319941595,11.466306800584045
8016,1068,Total,"Gates County, NC",88.24306472919419,11.756935270805812
2148,134,Under 18,"Gates County, NC",94.12795793163892,5.872042068361087
2245,458,18 to 40 years,"Gates County, NC",83.05586385497595,16.944136145024046
1073,181,40 to 50 years,"Gates County, NC",85.56618819776715,14.433811802232855
2550,295,50 to 64 years,"Gates County, NC",89.63093145869948,10.369068541300527
5106,1200,Total,"Graham County, NC",80.97050428163654,19.029495718363464
1503,133,Under 18,"Graham County, NC",91.87041564792176,8.12958435207824
1418,517,18 to 40 years,"Graham County, NC",73.28165374677003,26.718346253229974
735,230,40 to 50 years,"Graham County, NC",76.16580310880829,23.83419689119171
1450,320,50 to 64 years,"Graham County, NC",81.92090395480226,18.07909604519774
40466,6156,Total,"Granville County, NC",86.79593325039681,13.204066749603191
11355,666,Under 18,"Granville County, NC",94.45969553281756,5.54030446718243
11312,2868,18 to 40 years,"Granville County, NC",79.77433004231311,20.225669957686883
6299,1228,40 to 50 years,"Granville County, NC",83.68539922944068,16.31460077055932
11500,1394,50 to 64 years,"Granville County, NC",89.18876997052892,10.811230029471071
11696,3062,Total,"Greene County, NC",79.2519311559832,20.748068844016803
3684,317,Under 18,"Greene County, NC",92.0769807548113,7.923019245188703
3156,1487,18 to 40 years,"Greene County, NC",67.97329312944217,32.02670687055783
1609,612,40 to 50 years,"Greene County, NC",72.44484466456551,27.55515533543449
3247,646,50 to 64 years,"Greene County, NC",83.4061135371179,16.593886462882097
377148,57058,Total,"Guilford County, NC",86.85923271442587,13.140767285574128
110557,5406,Under 18,"Guilford County, NC",95.33816820882522,4.661831791174771
119683,30065,18 to 40 years,"Guilford County, NC",79.92293720116463,20.077062798835378
56918,10520,40 to 50 years,"Guilford County, NC",84.40048637266823,15.599513627331772
89990,11067,50 to 64 years,"Guilford County, NC",89.04875466320988,10.951245336790128
31863,5633,Total,"Halifax County, NC",84.9770642201835,15.022935779816514
9509,606,Under 18,"Halifax County, NC",94.00889767671775,5.991102323282254
9106,2610,18 to 40 years,"Halifax County, NC",77.72277227722772,22.277227722772277
4177,928,40 to 50 years,"Halifax County, NC",81.82174338883448,18.178256611165523
9071,1489,50 to 64 years,"Halifax County, NC",85.89962121212122,14.100378787878787
97394,17293,Total,"Harnett County, NC",84.92156914035593,15.078430859644074
32138,1926,Under 18,"Harnett County, NC",94.34593705965241,5.654062940347581
32069,8920,18 to 40 years,"Harnett County, NC",78.2380638707946,21.761936129205395
13394,3358,40 to 50 years,"Harnett County, NC",79.95463228271251,20.045367717287487
